station,province,rows,cgn_id,cgn_name,cgn_concise,cgn_lat,cgn_lon,hr_lat,hr_lon,csd_id,wikidata_qid,coord_source
Carolside,ALBERTA,15,IALKW,Carolside,UNP,51.2202778,-111.6291667,,,,,cgn_direct
McKague,SASKATCHEWAN,15,HALFW,McKague,UNP,52.6095180,-103.9292420,,,,,cgn_direct
Galilee,SASKATCHEWAN,15,HACUN,Galilee,UNP,49.9373150,-105.5370220,,,,,cgn_direct
Oungre,SASKATCHEWAN,15,HANHH,Oungre,HAM,49.1453550,-103.7984930,,,,,cgn_direct
Edmore,SASKATCHEWAN,15,HAQYD,Edmore,UNP,51.5726450,-103.5902210,,,,,cgn_direct
Dudley,SASKATCHEWAN,15,HAGWZ,Dudley,UNP,50.9339810,-107.1932610,,,ON116004,Q115261323,cgn_direct
Dorothy,ALBERTA,15,IABMX,Dorothy,UNP,51.2791667,-112.3250000,,,,,cgn_direct
Elk Island,ALBERTA,15,IACOL,Elk Island,UNP,53.7813889,-112.9783333,,,,,cgn_direct
St. Benedict,SASKATCHEWAN,15,HAHFJ,St. Benedict,VILG,52.5681290,-105.3897280,,,,,cgn_direct
Choiceland,SASKATCHEWAN,15,HACYJ,Choiceland,TOWN,53.4920361,-104.4869306,,,,,cgn_direct
Meath Park,SASKATCHEWAN,15,HALJR,Meath Park,VILG,53.4417056,-105.3667258,53.4333,-105.3667,,,cgn_direct
Cactus Lake,SASKATCHEWAN,15,HAQMM,Cactus Lake,UNP,52.1142290,-109.8163000,52.1167,-109.8167,,,cgn_direct
Whiskey Gap,ALBERTA,15,IAPBW,Whiskey Gap,UNP,49.0325000,-113.0313889,49.0333,-113.0333,,,cgn_direct
Chater,MANITOBA,14,GAEUB,Chater,UNP,49.8672220,-99.8313890,0.0,0.0,,,cgn_direct
Aiktow,SASKATCHEWAN,14,,Aiktow (interp: midpoint Bridgeford–Elbow),,51.030108,-106.508866,,,,,lynch_map_interp
Dufresne,MANITOBA,14,GAHAG,Dufresne,UNP,49.7269440,-96.7233330,,,,,cgn_direct
Katrim,MANITOBA,14,GAMYX,Katrime,,50.0816670,-98.7894440,,,,,agent_high
Newton Siding,MANITOBA,14,GATDJ,Newton,,49.9275000,-98.0780560,,,,,agent_high
Bergman,MANITOBA,14,,,,,,,,,,
Bradburn,MANITOBA,14,,Bradburn (interp: midpoint Carman–Stephenfield),,49.500973,-98.125417,,,,,lynch_map_interp
Dunn,MANITOBA,14,,,,,,,,ON115004,Q115261339,
Bowell,ALBERTA,14,IAHYJ,Bowell,UNP,50.1488889,-110.9458333,,,,,cgn_direct
Jameson,SASKATCHEWAN,14,HABZQ,Jameson,UNP,50.4055670,-104.2889440,,,,,cgn_direct
St. Boswells,SASKATCHEWAN,14,HAHFK,St. Boswells,UNP,50.0445690,-106.8396870,,,,,cgn_direct
Cairns,ALBERTA,14,IAKHP,Cairns,UNP,52.3433334,-110.5441667,,,,,cgn_direct
Gartley,ALBERTA,14,IAFYG,Gartly,,51.5597222,-112.5836111,,,,,agent_high
Bardo,ALBERTA,14,IACZD,Bardo,UNP,53.2986111,-112.6875000,,,,,cgn_direct
Twinning,ALBERTA,14,IAOWD,Twining,,51.6327778,-113.2975000,,,,,agent_high
Baliol,SASKATCHEWAN,14,,,,,,,,,,
Bickleigh,SASKATCHEWAN,14,HADWW,Bickleigh,UNP,51.2927170,-108.4078880,,,,,cgn_direct
Carbondale,ALBERTA,14,IAKLS,Carbondale,UNP,53.7463889,-113.5269444,53.75,-113.5333,,,cgn_direct
Willow Bunch,SASKATCHEWAN,14,HANJB,Willow Bunch,TOWN,49.3910056,-105.6330528,49.3833,-105.6333,SK173007,Q8022273,cgn_direct
Resource,SASKATCHEWAN,14,HAINW,Resource,UNP,52.7333445,-104.5338284,,,,,cgn_direct
Southminster,SASKATCHEWAN,14,HAJAH,Southminster,UNP,53.2199470,-109.9667640,,,,,cgn_direct
Scandia,ALBERTA,14,IAHFW,Scandia,UNP,50.2780556,-112.0466667,,,,,cgn_direct
Mossbank..... (also C.N.R.),SASKATCHEWAN,14,HALWE,Mossbank,TOWN,49.9396278,-105.9631667,,,SK173039,Q1915513,cgn_direct
Beaverdale,SASKATCHEWAN,14,HAPCU,Beaver Dale,UNP,51.2499979,-102.9004890,,,,,cgn_direct
Musidora,ALBERTA,14,IAMGK,Musidora,UNP,53.6897222,-111.5841667,,,,,cgn_direct
Heinsburg,ALBERTA,14,IAJSF,Heinsburg,UNP,53.7675000,-110.5216667,53.7667,-110.5167,,,cgn_direct
Bapaume,SASKATCHEWAN,14,HASUC,Bapaume,UNP,53.3834005,-107.6672923,,,,,cgn_direct
New Osgoode,SASKATCHEWAN,14,HAMET,New Osgoode,UNP,52.9871950,-103.8178830,,,,,cgn_direct
Reynaud,SASKATCHEWAN,14,HAIOD,Reynaud,HAM,52.6276950,-105.4348110,,,,,cgn_direct
Skiff,ALBERTA,14,IAIJA,Skiff,UNP,49.5025000,-111.7911111,,,,,cgn_direct
Gartly,ALBERTA,14,IAFYG,Gartly,UNP,51.5597222,-112.5836111,,,,,cgn_direct
Griesbach,ALBERTA,14,IAHQR,Griesbach,UNP,53.6536111,-113.1822222,,,,,cgn_direct
(Marpole),BRITISH COLUMBIA,14,,,,,,,,,,parser_artifact
Vancouver..... (See pages 182 and 184),BRITISH COLUMBIA,14,JBRIK,Vancouver,CITY,49.2611110,-123.1138890,0.0,0.0,BC206005,Q24639,cgn_direct
Rufford Siding,MANITOBA,13,GAXSO,Rufford,,50.1450000,-99.8936110,,,,,agent_high
St. Agathe,MANITOBA,13,GAXXC,Ste. Agathe,,49.5661110,-97.1833330,,,,,agent_high
Magnus,MANITOBA,13,,,,,,,,,,
Amaranth,MANITOBA,13,GAAQC,Amaranth,UNP,50.5955560,-98.7383330,50.5956,-98.7383,ON106001,Q115260697,cgn_direct
Inwood,MANITOBA,13,GALOQ,Inwood,UNP,50.5063890,-97.4955560,50.5064,-97.4956,,,cgn_direct
Mulvihill,MANITOBA,13,GASLL,Mulvihill,UNP,50.9666670,-98.1797220,,,,,cgn_direct
Ibson,SASKATCHEWAN,13,HAATC,Ibsen,,49.8524510,-104.2444410,,,,,agent_medium
Sharrow,ALBERTA,13,IAHKI,Sharrow,UNP,50.9122222,-110.1766667,,,,,cgn_direct
Penrith,MANITOBA,13,,,,,,,,,,
Rackham,MANITOBA,13,GAWMC,Rackham,UNP,50.5372220,-100.0680600,,,,,cgn_direct
Bear Creek,SASKATCHEWAN,13,HAWRQ,Bear Creek,HAM,56.2988194,-108.9408167,,,,,cgn_direct
Grand Coulée,SASKATCHEWAN,13,HADMF,Grand Coulee,VILG,50.4322500,-104.8175964,,,SK176049,Q2003716,cgn_direct
Winro,SASKATCHEWAN,13,HANLB,Winro,UNP,50.5470080,-103.7522550,,,,,cgn_direct
Barbour,SASKATCHEWAN,13,,Barbour (interp: midpoint Tonkin–Kessock),,51.213486,-102.132114,,,,,lynch_map_interp
Chambers,SASKATCHEWAN,13,HACGS,Chambers,UNP,51.8644200,-107.1263210,,,,,cgn_direct
Eldred,SASKATCHEWAN,13,HAPFV,Eldred,UNP,53.5885410,-106.9675780,,,,,cgn_direct
Kilwinning,SASKATCHEWAN,13,HASSX,Kilwinning,UNP,53.0986110,-106.6621650,,,,,cgn_direct
Poyser,SASKATCHEWAN,13,HAHRG,Poyser,UNP,52.4633630,-109.2174710,,,,,cgn_direct
Neely,SASKATCHEWAN,13,HATNP,Neely,UNP,51.9328010,-105.7588490,,,,,cgn_direct
Palo,SASKATCHEWAN,13,HAGMV,Palo,UNP,52.1677700,-108.3121340,,,,,cgn_direct
Xena,SASKATCHEWAN,13,HATOA,Xena,UNP,51.7121580,-105.6035550,,,,,cgn_direct
Ashmont,ALBERTA,13,IACJU,Ashmont,UNP,54.1291666,-111.5680556,,,AB201014,Q4805682,cgn_direct
Donalda,ALBERTA,13,IABMD,Donalda,VILG,52.5836111,-112.5741667,,,AB196039,Q1018483,cgn_direct
Greencourt,ALBERTA,13,IAHPJ,Green Court,UNP,54.0077777,-115.2386111,,,,,cgn_direct
Venice,ALBERTA,13,IAOBY,Venice,UNP,54.6977778,-112.1480556,,,,,cgn_direct
Forslund,SASKATCHEWAN,13,HATNK,Forslund,UNP,51.9167011,-105.8505950,,,,,cgn_direct
Duffield,ALBERTA,13,IABQB,Duffield,UNP,53.5280555,-114.3441667,,,,,cgn_direct
Bluffton,ALBERTA,13,IAHAD,Bluffton,UNP,52.7494444,-114.2916667,,,,,cgn_direct
Buoyant,ALBERTA,13,IAJLH,Buoyant,UNP,51.5169444,-113.4144444,,,,,cgn_direct
Leo,ALBERTA,13,IACVS,Leo,UNP,52.0547222,-112.3586111,,,ON148111,Q115262033,cgn_direct
Naco,ALBERTA,13,IAMHW,Naco,UNP,51.7000000,-110.8077778,,,,,cgn_direct
Girouville,ALBERTA,13,IAGMY,Girouxville,,55.7536111,-117.3388889,,,,,agent_high
Alticane,SASKATCHEWAN,13,HABMN,Alticane,UNP,52.9000604,-107.4839507,,,,,cgn_direct
Coalhurst,ALBERTA,13,IANEP,Coalhurst,TOWN,49.7486111,-112.9294444,0.0,0.0,AB190030,Q501627,cgn_direct
Slawa,ALBERTA,13,IAIJO,Slawa,UNP,53.6858334,-111.1241667,,,,,cgn_direct
Environ,SASKATCHEWAN,13,HAPFX,Environ,UNP,52.2290240,-107.3295440,,,,,cgn_direct
Gladmar,SASKATCHEWAN,13,HACXD,Gladmar,UNP,49.1633028,-104.4548778,,,,,cgn_direct
Greenstreet,SASKATCHEWAN,13,HADOV,Greenstreet,UNP,53.4603640,-109.8183780,,,,,cgn_direct
Hillmond,SASKATCHEWAN,13,HAFMJ,Hillmond,UNP,53.4285390,-109.7021920,53.4333,-109.7,,,cgn_direct
Shell Lake,SASKATCHEWAN,13,HAEFT,Shell Lake,VILG,53.3055222,-107.0644861,53.3,-107.0667,,,cgn_direct
Rivercourse,ALBERTA,13,IAEZD,Rivercourse,UNP,53.0150000,-110.0586111,,,,,cgn_direct
Therien,ALBERTA,13,IALFC,Therien,UNP,54.2394444,-111.2566667,,,QC094046,,cgn_direct
Huallen,ALBERTA,13,IAKYD,Huallen,UNP,55.1644444,-119.2863889,,,,,cgn_direct
Morrinville,ALBERTA,13,IALHY,Morinville,,53.8027778,-113.6438889,,,,,agent_high
Scentgrass,SASKATCHEWAN,13,HAHXS,Scentgrass,UNP,52.9500730,-108.2506718,,,,,cgn_direct
Smeaton,SASKATCHEWAN,13,HAIWB,Smeaton,VILG,53.4914333,-104.8109111,,,,,cgn_direct
Whitkow,SASKATCHEWAN,13,HAUVB,Whitkow,UNP,52.9401810,-107.8665120,,,,,cgn_direct
Carrot River,SASKATCHEWAN,13,HABWZ,Carrot River,TOWN,53.2817028,-103.5856397,53.2833,-103.5833,SK185013,Q5458847,cgn_direct
Keatley,SASKATCHEWAN,13,HADFG,Keatley,UNP,52.8000602,-107.4672896,,,,,cgn_direct
Beaver River Crossing,ALBERTA,13,,,,,,,,,,
Bodo,ALBERTA,13,IAHAL,Bodo,UNP,52.1533333,-110.0791667,52.15,-110.0833,,,cgn_direct
Mayfield,MANITOBA,12,GAQMD,Mayfeld,,50.1183330,-98.9994440,,,SK186002,Q6797184,agent_high
McNutt,MANITOBA,12,HAKUT,MacNutt,,51.0842628,-101.6035944,,,,,agent_high
Elswick,SASKATCHEWAN,12,,Elswick,,49.3667,-103.533,,,,,wikipedia_ghost_sk
Donalds,ALBERTA,12,IABMD,Donalda,,52.5836111,-112.5741667,,,,,agent_high
Oak Bank,MANITOBA,12,GATUG,Oakbank,UNP,49.9436110,-96.8427780,,,,,cgn_direct
Wheatlands,MANITOBA,12,GBDUW,Wheatland,,50.0166670,-100.2955600,,,SK177009,Q7991914,agent_high
Brumlee,MANITOBA,12,GADUC,Brumlie,,50.2491670,-100.3944400,,,,,agent_high
Camper,MANITOBA,12,GAEFY,Camper,UNP,51.0708330,-98.2600000,,,,,cgn_direct
Deerwood,MANITOBA,12,GAGJL,Deerwood,UNP,49.3977780,-98.3863890,,,,,cgn_direct
Griffin,MANITOBA,12,,,,,,49.6667,-103.4333,SK172011,Q5608813,hr_places
Chrysler,SASKATCHEWAN,12,HACZB,Chrysler,UNP,51.1667410,-102.3955330,,,,,cgn_direct
Pascal,SASKATCHEWAN,12,HAGOR,Pascal,UNP,53.5129410,-107.1460560,,,,,cgn_direct
Lydden,SASKATCHEWAN,12,,,,,,,,,,
Thrasher,SASKATCHEWAN,12,HANQZ,Thrasher,UNP,51.3703700,-107.9960110,,,,,cgn_direct
Souris River,SASKATCHEWAN,12,HAUQD,Souris River,UNP,49.0874270,-102.2715190,,,,,cgn_direct
Chumah,MANITOBA,12,GAEZZ,Chumah,UNP,50.1680560,-100.6936100,,,,,cgn_direct
Floors,MANITOBA,12,GAIMF,Floors,UNP,50.1105560,-100.2991700,,,,,cgn_direct
Pitlochry,MANITOBA,12,,,,,,,,,,
Chipperfield,SASKATCHEWAN,12,HACYE,Chipperfield,UNP,51.2893100,-108.2540470,,,,,cgn_direct
Edgeworth,SASKATCHEWAN,12,HAHTA,Edgeworth,UNP,49.7241600,-104.9512760,,,,,cgn_direct
Fishing Lake,SASKATCHEWAN,12,HABVA,Fishing Lake,UNP,51.8089190,-103.6033810,,,,,cgn_direct
Penkill,SASKATCHEWAN,12,HAGSW,Penkill,UNP,51.3136470,-108.6289980,,,,,cgn_direct
Eyre,SASKATCHEWAN,12,HAIRA,Eyre,UNP,51.2735890,-109.8151560,51.2667,-109.8167,,,cgn_direct
Lett,SASKATCHEWAN,12,HAGFB,Lett,UNP,52.2039460,-108.1928700,,,,,cgn_direct
Hamlet,ALBERTA,12,IAIMP,Hamlet,UNP,51.1608333,-113.2494444,,,,,cgn_direct
Kirkpatrick,ALBERTA,12,IABEZ,Kirkpatrick,UNP,51.4900000,-112.8294444,51.5,-112.8333,ON130045,Q115261930,cgn_direct
Pivot,ALBERTA,12,IABVP,Pivot,UNP,50.4041666,-110.0472222,50.4167,-110.0333,,,cgn_direct
Fawcett,ALBERTA,12,IADEW,Fawcett,UNP,54.5405556,-114.0947222,,,,,cgn_direct
Rorketon,MANITOBA,12,GAXLI,Rorketon,UNP,51.3894440,-99.5886110,51.3894,-99.5886,,,cgn_direct
Shevlin,MANITOBA,12,GAZAN,Shevlin,UNP,51.1938890,-101.2083300,,,,,cgn_direct
North Transcona,MANITOBA,12,GATQH,North Transcona,UNP,49.9236110,-97.0005560,,,,,cgn_direct
Peigan,ALBERTA,12,,,,,,,,,,
Littlegem,ALBERTA,12,IADKL,Little Gem,UNP,51.7394445,-110.9786111,,,,,cgn_direct
Roma,ALBERTA,12,IAFPE,Roma,UNP,56.2063889,-117.4216667,,,,,cgn_direct
Burr,SASKATCHEWAN,12,HAKQZ,Burr,UNP,52.0460320,-105.1374900,,,,,cgn_direct
Rex,SASKATCHEWAN,12,HAIOB,Rex,UNP,53.4458610,-109.9320480,,,,,cgn_direct
Tunstall,SASKATCHEWAN,12,HANWG,Tunstall,UNP,50.1542460,-109.7801040,,,,,cgn_direct
Bjorkdale,SASKATCHEWAN,12,HAEAV,Bjorkdale,VILG,52.7090750,-103.6448083,,,,,cgn_direct
Mont Nebo,SASKATCHEWAN,12,HALSN,Mont Nebo,UNP,53.2833824,-106.8505708,,,,,cgn_direct
Parkerview,SASKATCHEWAN,12,HAPCD,Parkerview,UNP,51.3539430,-103.2329470,51.35,-103.2333,,,cgn_direct
Legend,ALBERTA,12,IACUZ,Legend,UNP,49.4844445,-111.6097222,,,,,cgn_direct
Norma,ALBERTA,12,IANRT,Norma,UNP,53.7127778,-112.0600000,,,AB198015,,cgn_direct
Wilna,ALBERTA,12,IAOOB,Vilna,,54.1166666,-111.9208333,,,,,agent_medium
Gronlid,SASKATCHEWAN,12,HAEHA,Gronlid,HAM,53.1001319,-104.4640361,53.1,-104.4667,,,cgn_direct
Minton,SASKATCHEWAN,12,HALPM,Minton,VILG,49.1652028,-104.5831806,49.1667,-104.5833,,,cgn_direct
Gouldtown,SASKATCHEWAN,12,HADLM,Gouldtown,UNP,50.6166998,-107.2173151,,,,,cgn_direct
Lepine,SASKATCHEWAN,12,HAGEQ,Lepine,UNP,52.6292860,-105.5839820,,,,,cgn_direct
Main Centre,SASKATCHEWAN,12,HAKVX,Main Centre,UNP,50.5832930,-107.3456720,50.5833,-107.35,,,cgn_direct
Smuts,SASKATCHEWAN,12,HATUP,Smuts,UNP,52.4349490,-106.1145100,,,,,cgn_direct
Allingham,ALBERTA,12,IABGL,Allingham,UNP,51.7027778,-113.5952778,,,,,cgn_direct
Farrow,ALBERTA,12,IADEO,Farrow,UNP,50.6869444,-113.4058333,,,,,cgn_direct
Madden,ALBERTA,12,IAFNC,Madden,UNP,51.4341667,-114.2805556,,,,,cgn_direct
Dreau,ALBERTA,12,IABOC,Dreau,UNP,55.7486111,-117.2933333,,,,,cgn_direct
Hines Creek,ALBERTA,12,IAJWS,Hines Creek,VILG,56.2463889,-118.6050000,56.25,-118.6,,,cgn_direct
"Fort William..... (See pages 183, 184 and 185)",ONTARIO,12,FOBSM,Fort William,MUN2,48.3543357,-89.2626760,,,ON147036,Q1438830,cgn_direct
Michichi,ALBERTA,12,IAIWZ,Michichi,UNP,51.5852778,-112.5336111,,,AB193016,,cgn_direct
"Fort William..... (See pages 192, 193, 194)",ONTARIO,12,FOBSM,Fort William,MUN2,48.3543357,-89.2626760,,,ON147036,Q1438830,cgn_direct
"Fort William..... (See pages 185, 186 and 187)",ONTARIO,12,FOBSM,Fort William,MUN2,48.3543357,-89.2626760,,,ON147036,Q1438830,cgn_direct
§St. Boniface,MANITOBA,11,GAXWT,St. Boniface,UNP,49.8750000,-97.0797220,,,MB160012,Q1004192,cgn_direct
Brumlie,MANITOBA,11,GADUC,Brumlie,UNP,50.2491670,-100.3944400,,,,,cgn_direct
McLean Siding,MANITOBA,11,,,,,,,,,,
Harte,MANITOBA,11,GAKKI,Harte,UNP,49.9855560,-99.4672220,,,,,cgn_direct
Norman,MANITOBA,11,GATJM,Norman,UNP,50.0652780,-100.4516700,,,ON146096,Q115262458,cgn_direct
Lovat,SASKATCHEWAN,11,,Lovat (interpolated Glenavon-Peebles),,50.176,-103.043,,,,,lynch_map_interp
Madill,MANITOBA,11,,,,,,,,,,
Moorepark,MANITOBA,11,GARWL,Moore Park,UNP,50.0663890,-99.7794440,,,,,cgn_direct
Kane Siding,MANITOBA,11,GAMPT,Kane,,49.3544440,-97.7272220,,,,,agent_high
Peebles,SASKATCHEWAN,11,HAGRT,Peebles,HAM,50.1594111,-102.9474583,50.1667,-102.95,,,cgn_direct
Meyerthorpe,ALBERTA,11,IAHVB,Mayerthorpe,,53.9547222,-115.1380556,,,,,agent_high
Deerhorn,MANITOBA,11,GAGIK,Deerhorn,UNP,50.7797220,-98.0408330,,,,,cgn_direct
Charlton,SASKATCHEWAN,11,HAQMO,Carlton,,52.8129740,-106.4883110,0.0,0.0,ON148192,Q11689931,agent_high
Spedden,ALBERTA,11,IAKOY,Spedden,UNP,54.1386111,-111.7255556,54.1333,-111.7167,,,cgn_direct
Taylor Siding,ALBERTA,11,IALCZ,Taylor,,51.3441667,-112.7602778,,,,,agent_high
Alhambra,ALBERTA,11,IABFN,Alhambra,UNP,52.3430556,-114.6725000,,,,,cgn_direct
Aspen Beach,ALBERTA,11,IACJP,Aspen Beach,UNP,52.4613889,-113.9386111,,,,,cgn_direct
Forshee,ALBERTA,11,IAFEQ,Forshee,UNP,52.5611111,-114.1472222,,,,,cgn_direct
Bures,SASKATCHEWAN,11,HAKQD,Bures,UNP,49.6885530,-104.8744090,,,,,cgn_direct
Deveron,SASKATCHEWAN,11,,,,,,,,,,
Golburn,SASKATCHEWAN,11,HADJX,Golburn,UNP,52.7544980,-104.0206980,,,,,cgn_direct
Booth Siding,SASKATCHEWAN,11,HATPB,Booth,,51.4167004,-104.6338902,,,,,agent_high
Wallisville,SASKATCHEWAN,11,HAQOG,Wallisville,UNP,51.7878630,-108.7330910,,,,,cgn_direct
Viola,SASKATCHEWAN,11,,,,,,,,,,
Cochrane,ALBERTA,11,IAADI,Cochrane,TOWN,51.2066667,-114.4669444,49.0667,-81.0167,AB194036,Q1105163,cgn_direct
Bretona,ALBERTA,11,IAIBS,Bretona,UNP,53.4491666,-113.3316667,53.45,-113.3333,,,cgn_direct
Jarvie,ALBERTA,11,IAMCG,Jarvie,UNP,54.4547222,-113.9869444,,,,,cgn_direct
Excelsior,ALBERTA,11,IADCI,Excelsior,UNP,53.7744444,-113.4963889,,,AB189020,,cgn_direct
Owen Sound,ONTARIO,11,FDGEE,Owen Sound,CITY,44.5698100,-80.9306700,,,ON114017,Q1017735,cgn_direct
Rufford,MANITOBA,11,GAXSO,Rufford,UNP,50.1450000,-99.8936110,,,,,cgn_direct
Baldwinton,SASKATCHEWAN,11,HACOL,Baldwinton,UNP,52.7834086,-109.2674000,,,,,cgn_direct
Beaubier,SASKATCHEWAN,11,HAUQR,Beaubier,HAM,49.1266278,-104.0794361,,,,,cgn_direct
Bott,ALBERTA,11,,,,,,,,,,
East Coulee,ALBERTA,11,IACDB,East Coulee,UNP,51.3405556,-112.4991667,,,,,cgn_direct
Chelan,SASKATCHEWAN,11,HACIU,Chelan,HAM,52.6100720,-103.3984030,,,,,cgn_direct
Mildred,SASKATCHEWAN,11,HALNQ,Mildred,UNP,53.3500577,-107.3339346,,,,,cgn_direct
Middle Lake,SASKATCHEWAN,11,HATQQ,Middle Lake,VILG,52.4827722,-105.3079139,,,,,cgn_direct
White Fox,SASKATCHEWAN,11,HAMUM,White Fox,VILG,53.4528030,-104.0857310,,,,,cgn_direct
Calderbank,SASKATCHEWAN,11,HAQMN,Calderbank,UNP,50.6184560,-106.8588190,,,,,cgn_direct
Sunny Glen,SASKATCHEWAN,11,HAVMP,Sunnyglen,UNP,52.3205870,-109.2992930,,,,,cgn_direct
Yellow Creek,SASKATCHEWAN,11,HANPQ,Yellow Creek,UNP,52.7523430,-105.2447470,,,,,cgn_direct
Dawson Creek,BRITISH COLUMBIA,11,JAPCN,Dawson Creek,CITY,55.7605560,-120.2355560,,,,,cgn_direct
Porcupine Plains,SASKATCHEWAN,11,HAHQB,Porcupine Plain,,52.5957889,-103.2542528,,,,,agent_high
(See page 37),MANITOBA,11,,,,,,,,,,parser_artifact
Noble,ALBERTA,10,,,,,,,,ON146095,Q115262453,
Jordan,MANITOBA,10,GAMDV,Jordan,UNP,49.3700000,-98.0022220,,,,,cgn_direct
Stoney Beach,SASKATCHEWAN,10,HAJXN,Stony Beach,,50.4689090,-105.1680510,,,,,agent_high
Dalry,MANITOBA,10,GAGBR,Dalny,,49.0994440,-100.9025000,,,,,agent_medium
Balder,MANITOBA,10,GABNE,Baldur,,49.3852780,-99.2438890,,,,,agent_medium
Ericksdale,MANITOBA,10,GAHUP,Eriksdale,,50.8627780,-98.1011110,,,,,agent_high
Glencairn,MANITOBA,10,GAJGO,Glencairn,UNP,50.6525000,-99.3055560,,,,,cgn_direct
Jordan Siding,MANITOBA,10,GAMDV,Jordan,,49.3700000,-98.0022220,,,,,agent_high
Cassils,ALBERTA,10,IALML,Cassils,UNP,50.5769444,-112.0461111,50.5833,-112.0333,,,cgn_direct
Denhart,ALBERTA,10,IAQCD,Denhart,UNP,50.6788889,-111.3902778,,,,,cgn_direct
Pakowki,ALBERTA,10,IAPXB,Pakowki,UNP,49.4647222,-110.9544444,0.0,0.0,,,cgn_direct
Alness,ALBERTA,10,IABGS,Alness,UNP,51.6541667,-111.7313889,,,,,cgn_direct
Roycroft,ALBERTA,10,IAGGJ,Rycroft,,55.7558333,-118.7086111,,,,,agent_high
Pickthall,SASKATCHEWAN,10,,,,,,,,,,
Cygnet,ALBERTA,10,IAOHE,Cygnet,UNP,52.2644445,-113.9569444,,,,,cgn_direct
Largs,MANITOBA,10,GAOFB,Largs,UNP,50.2669440,-99.9291670,,,,,cgn_direct
Leighton,MANITOBA,10,GAOLC,Leighton,UNP,49.2191670,-100.5994400,,,,,cgn_direct
Cathkin,SASKATCHEWAN,10,HACFG,Cathkin,UNP,52.2549860,-108.7018650,,,,,cgn_direct
Tatagwa,SASKATCHEWAN,10,HAPKV,Tatagwa,UNP,49.6519730,-104.0030710,,,,,cgn_direct
Tuberose,SASKATCHEWAN,10,HANVR,Tuberose,UNP,50.9079950,-108.0957520,,,,,cgn_direct
Brisbin,SASKATCHEWAN,10,HAKRW,Brisbin,UNP,51.6667138,-107.6673291,,,,,cgn_direct
Grainland,SASKATCHEWAN,10,HAQPQ,Grainland,UNP,50.9796880,-106.5500000,50.9833,-106.55,,,cgn_direct
Kegworth,SASKATCHEWAN,10,HADFV,Kegworth,UNP,50.1833525,-103.0171797,,,,,cgn_direct
Medstead,SASKATCHEWAN,10,HAVLR,Medstead,VILG,53.2985167,-108.0796333,53.3,-108.0667,SK186015,Q6807302,cgn_direct
Midnapore,ALBERTA,10,IAJYW,Midnapore,UNP,50.9180556,-114.0638889,,,,,cgn_direct
Nacmine,ALBERTA,10,IAMHV,Nacmine,UNP,51.4694444,-112.7875000,,,,,cgn_direct
Netook,ALBERTA,10,IANOA,Netook,UNP,51.8783334,-114.0497222,,,,,cgn_direct
Staplehurst,ALBERTA,10,IAKSZ,Staplehurst,UNP,53.3533333,-110.0805556,,,,,cgn_direct
Dowling,ALBERTA,10,IACAH,Dowling,UNP,51.7722222,-111.9994444,,,ON146033,Q115261306,cgn_direct
Elspeth,ALBERTA,10,IACPO,Elspeth,UNP,52.3077777,-114.2205556,,,,,cgn_direct
Esther,ALBERTA,10,IADAR,Esther,UNP,51.6825000,-110.2602778,,,,,cgn_direct
Sabine,ALBERTA,10,IAGGM,Sabine,UNP,52.2075000,-112.6088889,,,ON130071,Q115262742,cgn_direct
Warden,ALBERTA,10,IAOSS,Warden,UNP,52.2600000,-112.7375000,52.2667,-112.75,QC087019,,cgn_direct
Ellscott,ALBERTA,10,IACPC,Ellscott,UNP,54.5030556,-112.9011111,,,,,cgn_direct
Transcona,MANITOBA,10,GBCAH,Transcona,UNP,49.8955560,-97.0052780,,,MB159013,,cgn_direct
Unity..... (also C.P.R.),SASKATCHEWAN,10,HAIRP,Unity,TOWN,52.4421250,-109.1574917,52.45,-109.1667,SK183029,Q1917375,cgn_direct
Tadmor,SASKATCHEWAN,10,HAPLM,Tadmore,,51.8343720,-102.4791350,,,,,agent_high
Noremac,SASKATCHEWAN,10,,,,,,,,,,
Collingwood,ONTARIO,10,FASGS,Collingwood,TOWN,44.5014000,-80.2407100,44.4833,-80.2167,ON114003,Q115261146,cgn_direct
Carragana,SASKATCHEWAN,10,HABWU,Carragana,UNP,52.5803150,-103.1101760,,,,,cgn_direct
Iffley,SASKATCHEWAN,10,HAATH,Iffley,UNP,52.9834075,-108.1673299,,,,,cgn_direct
Cremona,ALBERTA,10,IAODC,Cremona,VILG,51.5455555,-114.4924999,51.55,-114.4833,,,cgn_direct
Sunnyslope,ALBERTA,10,IAMOQ,Sunnyslope,UNP,51.6480556,-113.5566667,,,,,cgn_direct
Gage,ALBERTA,10,IAFWM,Gage,UNP,56.1383333,-118.5038889,,,,,cgn_direct
Longburn,MANITOBA,10,GAPFJ,Longburn,UNP,50.1150000,-98.4644440,,,,,cgn_direct
Arbuthnot,SASKATCHEWAN,10,HAPCN,Arbuthnot,UNP,49.8166954,-106.9006302,,,,,cgn_direct
Fosterton,SASKATCHEWAN,10,HAPGJ,Fosterton,UNP,50.4833772,-108.3840304,,,,,cgn_direct
Killdeer,SASKATCHEWAN,10,HAVWY,Killdeer,UNP,49.1166936,-106.3505882,49.1167,-106.35,,,cgn_direct
Leoville,SASKATCHEWAN,10,HAGEP,Leoville,VILG,53.6315139,-107.5513839,,,,,cgn_direct
